iter	Passed	Remaining
447	1153	1420
448	1154	1417
449	1156	1413
450	1165	1418
451	1167	1414
452	1171	1414
453	1173	1410
454	1177	1410
455	1179	1406
456	1180	1403
457	1182	1399
458	1184	1396
459	1186	1392
460	1188	1389
461	1192	1388
462	1194	1385
463	1196	1381
464	1198	1378
465	1200	1375
466	1202	1371
467	1203	1368
468	1208	1368
469	1210	1364
470	1212	1361
471	1214	1358
472	1216	1354
473	1217	1351
474	1219	1347
475	1223	1347
476	1225	1344
477	1227	1340
478	1229	1337
479	1231	1333
480	1233	1330
481	1235	1327
482	1239	1326
483	1241	1324
484	1244	1321
485	1246	1318
486	1248	1314
487	1250	1311
488	1251	1308
489	1253	1304
490	1257	1303
491	1259	1300
492	1261	1297
493	1263	1294
494	1265	1290
495	1266	1287
496	1268	1284
497	1272	1282
498	1274	1279
499	1276	1276
500	1279	1274
501	1281	1271
502	1283	1268
503	1293	1272
504	1294	1269
505	1296	1266
506	1300	1264
507	1302	1261
508	1305	1259
509	1307	1255
510	1309	1252
511	1310	1249
512	1313	1247
513	1315	1244
514	1317	1241
515	1319	1238
516	1321	1234
517	1323	1231
518	1325	1228
519	1327	1224
520	1329	1222
521	1331	1219
522	1336	1218
523	1337	1215
524	1350	1222
525	1356	1222
526	1358	1219
527	1360	1216
528	1362	1213
529	1364	1209
530	1372	1211
531	1373	1208
532	1375	1205
533	1377	1202
534	1381	1200
535	1383	1197
536	1385	1194
537	1386	1190
538	1388	1187
539	1401	1193
540	1403	1190
541	1405	1187
542	1406	1184
543	1408	1180
544	1411	1178
545	1413	1175
546	1415	1172
547	1417	1168
548	1419	1165
549	1421	1162
550	1422	1159
551	1424	1156
552	1427	1153
553	1429	1150
554	1431	1148
555	1434	1145
556	1436	1142
557	1445	1145
558	1447	1142
559	1450	1139
560	1452	1136
561	1454	1133
562	1456	1130
563	1458	1127
564	1460	1124
565	1462	1121
566	1464	1118
567	1466	1115
568	1470	1113
569	1472	1110
570	1474	1107
571	1476	1104
572	1478	1101
573	1479	1098
574	1481	1095
575	1488	1095
576	1490	1092
577	1491	1089
578	1493	1086
579	1495	1083
580	1497	1079
581	1500	1077
582	1502	1074
583	1508	1074
584	1509	1071
585	1511	1067
586	1513	1064
587	1516	1062
588	1518	1059
589	1520	1056
590	1522	1053
591	1524	1050
592	1525	1047
593	1527	1044
594	1529	1041
595	1533	1039
596	1535	1036
597	1537	1033
598	1539	1030
599	1540	1027
600	1542	1024
601	1544	1021
602	1548	1019
603	1553	1018
604	1555	1015
605	1557	1012
606	1558	1009
607	1561	1006
608	1563	1003
609	1565	1000
610	1566	997
611	1568	994
612	1573	993
613	1575	990
614	1578	988
615	1580	985
616	1583	982
617	1585	979
618	1588	978
619	1590	975
620	1595	973
